Package,Package Version,arn
beautifulsoup4,4.12.3,arn:aws:lambda:ap-south-1:770693421928:layer:Klayers-p312-beautifulsoup4:2
tabulate,0.9.0,arn:aws:lambda:ap-south-1:770693421928:layer:Klayers-p312-tabulate:1
aws-xray-sdk,2.12.1,arn:aws:lambda:ap-south-1:770693421928:layer:Klayers-p312-aws-xray-sdk:3
dynamodb-encryption-sdk,3.2.0,arn:aws:lambda:ap-south-1:770693421928:layer:Klayers-p312-dynamodb-encryption-sdk:3
aws-requests-auth,0.4.3,arn:aws:lambda:ap-south-1:770693421928:layer:Klayers-p312-aws-requests-auth:3
bcrypt,4.1.2,arn:aws:lambda:ap-south-1:770693421928:layer:Klayers-p312-bcrypt:1
python-pptx,0.6.23,arn:aws:lambda:ap-south-1:770693421928:layer:Klayers-p312-python-pptx:2
numpy,1.26.4,arn:aws:lambda:ap-south-1:770693421928:layer:Klayers-p312-numpy:2
redshift-connector,2.1.0,arn:aws:lambda:ap-south-1:770693421928:layer:Klayers-p312-redshift-connector:3
cryptography,42.0.5,arn:aws:lambda:ap-south-1:770693421928:layer:Klayers-p312-cryptography:3
pandas,2.2.1,arn:aws:lambda:ap-south-1:770693421928:layer:Klayers-p312-pandas:3
memray,1.11.0,arn:aws:lambda:ap-south-1:770693421928:layer:Klayers-p312-memray:2
Pillow,10.2.0,arn:aws:lambda:ap-south-1:770693421928:layer:Klayers-p312-Pillow:1
boto3,1.34.53,arn:aws:lambda:ap-south-1:770693421928:layer:Klayers-p312-boto3:3
mysql-connector-python,8.3.0,arn:aws:lambda:ap-south-1:770693421928:layer:Klayers-p312-mysql-connector-python:2
dnspython,2.6.1,arn:aws:lambda:ap-south-1:770693421928:layer:Klayers-p312-dnspython:2
requests,2.31.0,arn:aws:lambda:ap-south-1:770693421928:layer:Klayers-p312-requests:3
polars,0.20.13,arn:aws:lambda:ap-south-1:770693421928:layer:Klayers-p312-polars:2
idna,3.6,arn:aws:lambda:ap-south-1:770693421928:layer:Klayers-p312-idna:1
pyqldb,3.2.3,arn:aws:lambda:ap-south-1:770693421928:layer:Klayers-p312-pyqldb:3
aliyun-python-sdk-actiontrail,2.2.0,arn:aws:lambda:ap-south-1:770693421928:layer:Klayers-p312-aliyun-python-sdk-actiontrail:3
jinja2,3.1.3,arn:aws:lambda:ap-south-1:770693421928:layer:Klayers-p312-jinja2:3
